longitud,latitud,nombre
-6.373129,39.470139,3
-6.373145,39.470509,4
-6.37321,39.469958,5
-6.373188,39.470419,6
-6.373222,39.470346,6A
-6.373279,39.469806,7
-6.373259,39.470272,8
-6.373314,39.469735,9
-6.376318,39.474097,1
-6.377295,39.474609,1
-6.377404,39.474658,12
-6.377856,39.474781,13
-6.377738,39.474807,14
-6.377878,39.474869,16
-6.376314,39.474163,2
-6.376536,39.474194,3
-6.376838,39.474393,4
-6.376948,39.474367,5
-6.376909,39.474423,6
-6.37697,39.474449,8
-6.375336,39.476572,1
-6.375535,39.476459,1
-6.375627,39.476278,11
-6.375606,39.476387,12
-6.375779,39.476122,13
-6.375653,39.476342,14
-6.375834,39.476064,15
-6.37584,39.476149,16
-6.375898,39.476001,17
-6.375902,39.476084,18
-6.375946,39.475949,19
-6.37527,39.476637,1A
-6.375248,39.47666,1B
-6.37526,39.476733,2
-6.375999,39.475986,2
-6.375996,39.475899,21
-6.376024,39.475871,21A
-6.376028,39.475955,22
-6.376116,39.475864,24
-6.375301,39.476791,2A
-6.375385,39.47685,2B
-6.375475,39.476915,2C
-6.375502,39.476871,2D
-6.375384,39.476783,2E
-6.375384,39.476525,3
-6.375365,39.476629,4
-6.375451,39.476455,5
-6.375416,39.476578,6
-6.375515,39.476393,7
-6.3755,39.476409,7A
-6.37548,39.476513,8
-6.375568,39.476339,9
-6.376758,39.473356,2
-6.378048,39.47385,3
-6.376996,39.473463,4
-6.37746,39.473671,6
-6.377852,39.473844,8
-6.373661,39.480014,2
-6.373533,39.480121,4
-6.372745,39.472245,1
-6.372509,39.472119,11
-6.371945,39.471836,12
-6.372357,39.472077,13
-6.372408,39.472092,13A
-6.372258,39.472051,15
-6.372047,39.471995,17
-6.371894,39.47195,19
-6.371887,39.471929,21
-6.371919,39.471856,21A
-6.371932,39.471818,23
-6.372724,39.472234,3
-6.372637,39.472173,5
-6.372233,39.472017,6
-6.372582,39.47215,7
-6.372188,39.472007,8
-6.372554,39.472139,9
-6.372515,39.459079,1
-6.372447,39.458884,2
-6.372376,39.458827,3
-6.372439,39.458751,4
-6.372513,39.458738,5
-6.372574,39.458901,6
-6.372614,39.459019,7
-6.372792,39.460062,1
-6.372767,39.459837,1
-6.372102,39.459282,11
-6.372726,39.459794,12
-6.372005,39.459167,13
-6.372594,39.459648,14
-6.371892,39.459047,15
-6.372584,39.459637,16
-6.371777,39.458922,17
-6.372562,39.459614,18
-6.371672,39.458802,19
-6.372962,39.460053,2
-6.372514,39.459559,2
-6.372465,39.459509,22
-6.372199,39.45923,24
-6.372096,39.459116,26
-6.371987,39.458998,28
-6.372712,39.459959,3
-6.371883,39.458876,3
-6.37177,39.458756,32
-6.372912,39.459999,4
-6.372578,39.45981,5
-6.372857,39.459936,6
-6.372448,39.45967,7
-6.372816,39.459893,8
-6.372328,39.459549,9
-6.379845,39.480264,1
-6.379926,39.480409,12
-6.379975,39.480493,14
-6.380019,39.480569,16
-6.380071,39.480652,18
-6.379669,39.479936,2
-6.380109,39.48073,2
-6.380165,39.480816,22
-6.37971,39.480017,4
-6.379755,39.480091,6
-6.379803,39.480181,8
-6.371182,39.471481,1
-6.371021,39.47122,1
-6.371008,39.471265,11
-6.370653,39.470769,12
-6.370981,39.471218,13
-6.370576,39.470683,14
-6.370946,39.47117,15
-6.370518,39.470617,16
-6.370899,39.471112,17
-6.370497,39.470593,18
-6.370839,39.471048,19
-6.371223,39.471486,2
-6.370743,39.470947,21
-6.370656,39.470851,23
-6.370602,39.470788,25
-6.370553,39.470755,27
-6.370521,39.470697,29
-6.371116,39.471412,3
-6.370494,39.470664,31
-6.37043,39.470592,33
-6.370335,39.470473,35
-6.370299,39.470458,35A
-6.371153,39.471408,4
-6.3711,39.471392,5
-6.371112,39.471355,6
-6.371102,39.471339,6A
-6.371058,39.47134,7
-6.371047,39.471259,8
-6.371033,39.471305,9
-6.372515,39.479298,2
-6.372377,39.479371,4
-6.372317,39.479408,6
-6.372192,39.479488,8
-6.372366,39.474169,1
-6.372487,39.474223,1
-6.372577,39.474122,12
-6.372283,39.474419,2
-6.372329,39.474376,4
-6.372443,39.474274,6
-6.372462,39.474255,8
-6.376172,39.476929,1
-6.375925,39.476692,1
-6.37582,39.476625,12
-6.376267,39.476907,2
-6.376044,39.476847,3
-6.376172,39.476848,4
-6.375937,39.47678,5
-6.376065,39.476779,6
-6.375804,39.476695,7
-6.375985,39.47673,8
-6.375739,39.476655,9
-6.37519,39.471367,1
-6.374997,39.471355,11
-6.374996,39.471223,12
-6.374821,39.471222,13
-6.374864,39.471123,14
-6.374732,39.471156,15
-6.37473,39.47102,16
-6.374598,39.471055,17
-6.374526,39.471001,19
-6.373888,39.470397,2
-6.374308,39.470839,21
-6.373691,39.470254,22
-6.374184,39.470747,23
-6.373508,39.470118,24
-6.374017,39.470623,25
-6.37385,39.470499,27
-6.373766,39.470435,29
-6.375479,39.471732,3
-6.373684,39.470374,31
-6.375641,39.471714,4
-6.37533,39.471605,5
-6.375421,39.47154,6
-6.375197,39.471507,7
-6.375311,39.47146,8
-6.375382,39.471511,8A
-6.375025,39.471376,9
-6.367118,39.482486,1
-6.366938,39.482652,3
-6.366734,39.482836,5
-6.36462,39.483859,1
-6.364458,39.483623,1
-6.364318,39.483658,11
-6.364389,39.48358,12
-6.36419,39.483571,13
-6.364275,39.483502,14
-6.364135,39.483534,15
-6.364209,39.48346,16
-6.364074,39.483494,17
-6.364153,39.483421,18
-6.364005,39.483448,19
-6.364699,39.483788,2
-6.364092,39.483379,2
-6.363949,39.483412,21
-6.36403,39.48334,22
-6.363883,39.483369,23
-6.363966,39.483298,24
-6.364558,39.483815,3
-6.364638,39.483745,4
-6.364494,39.483776,5
-6.364578,39.483707,6
-6.364442,39.483739,7
-6.364516,39.483663,8
-6.364376,39.483695,9
-6.379613,39.472677,1
-6.381109,39.473625,1
-6.380279,39.472976,11
-6.381396,39.473581,12
-6.380668,39.473149,13
-6.381195,39.473384,17
-6.38144,39.473493,19
-6.379856,39.473066,2
-6.37975,39.472739,3
-6.380225,39.473089,4
-6.379911,39.472811,5
-6.380415,39.473317,6
-6.380103,39.472898,7
-6.380912,39.473395,8
-6.380128,39.472909,9
-6.373554,39.472324,1
-6.374232,39.473082,1
-6.373776,39.472624,11
-6.373835,39.472728,11A
-6.374628,39.473174,12
-6.373921,39.47288,13
-6.374069,39.472998,15
-6.374307,39.473069,17
-6.374369,39.473086,19A
-6.374401,39.473094,19B
-6.373724,39.472596,2
